Bits;Y;U;V;ET
156296;41.0385;42.5043;44.2117;0.81
102840;39.9043;41.7532;43.4985;2.42
46888;38.3378;41.1977;43.2623;2.42
27224;37.7999;41.0256;43.1926;2.3
6792;37.2544;41.1315;42.8476;1.69
5776;37.0315;40.6089;42.6284;1.71
18344;37.7114;41.1989;43.1001;2.2
4432;36.9005;40.9516;42.8885;1.51
4424;37.3074;41.0356;43.1051;1.41
104144;39.8439;41.6712;43.4756;3.54
47816;38.4439;41.0403;42.9979;2.53
22440;37.7355;40.9309;42.9475;2.32
4616;37.119;40.9276;42.9676;1.62
5872;36.6821;40.5083;42.7689;1.86
25480;37.7663;40.9435;42.824;2.23
7208;36.6802;40.3356;42.5251;1.85
6440;36.9365;40.5896;42.6722;1.69
103312;39.9689;42.2316;43.4517;3.5
49856;38.3558;40.7024;43.0991;2.57
23496;37.7518;40.902;42.863;2.33
6952;37.0324;40.656;42.7046;1.6
